time_step,forecast_values,actual_values
336,9.592834907931495,11.0
337,10.443520332996245,12.5
338,12.3183848131514,15.0
339,13.883125902484792,18.0
340,14.843340657876988,19.5
341,15.397889651337756,21.0
342,15.881626254205287,21.0
343,16.35599668910833,21.0
344,16.060219023650113,20.0
345,15.784952353030306,19.0
346,15.485277915718585,20.0
347,14.672083472529927,19.0
348,13.115006040847836,17.5
349,11.231318192924544,13.0
350,9.943913702360918,10.5
351,9.602486813564058,9.5
352,9.181628129592287,8.0
353,8.799226586404814,8.0
354,8.47090435597643,9.5
355,8.38824682068123,10.5
356,7.961923033207883,9.5
357,7.5990493579671785,10.0
358,7.419869947604,9.5
359,6.815234229651293,9.0
360,6.614410688601921,9.0
361,7.805921788665779,11.5
362,9.968994932717363,15.0
363,11.787841693074556,17.5
364,12.975522223424026,18.5
365,13.732866694659329,19.0
366,14.39485378695169,20.0
367,15.025374701810753,19.0
368,14.873967259492911,20.0
369,14.725725398520593,18.5
370,14.53825835315922,17.5
371,13.829184715165763,17.0
372,12.37205613604076,16.0
373,10.5813704505472,14.0
374,9.37200510524363,13.0
375,9.091236240726568,13.0
376,8.724894786072419,13.0
377,8.390528299887906,12.5
378,8.104341247884594,11.0
379,8.056647065194207,9.5
380,7.664595667533311,8.0
381,7.33172210477245,7.5
382,7.177505363247103,7.0
383,6.599291116752211,7.0
384,6.41837177350393,7.0
385,7.613655367030595,7.0
386,9.768851919286123,8.0
387,11.581599547835024,9.5
388,12.768039008189794,9.0
389,13.527164801989885,9.5
390,14.190752991927214,9.5
391,14.822191797882724,11.0
392,14.67866621218162,12.0
393,14.537503141670774,12.5
394,14.356830434499555,12.5
395,13.65918646895168,11.5
396,12.220466065456565,10.5
397,10.451073661656464,8.5
398,9.256767492375392,5.5
399,8.981389993415792,5.0
400,8.620985884901968,5.0
401,8.291961725576527,5.5
402,8.010392727226101,6.5
403,7.964712965154115,5.0
404,7.577943226661329,4.0
405,7.2495942251826175,4.0
406,7.097966569229382,4.0
407,6.5264671611962,3.5
408,6.348167285191551,3.5
409,7.532171324741551,7.0
410,9.666375949988643,9.5
411,11.461490583434527,10.625
412,12.63651183576594,11.75
413,13.388446593242628,12.875
414,14.045750712518988,14.0
415,14.671182915695619,14.0
416,14.529383062672323,14.0
417,14.38988732119236,14.5
418,14.211247667211357,13.0
419,13.520794464048276,11.0
420,12.096673250072087,10.0
421,10.345175522542993,10.0
422,9.162978508054895,10.0
423,8.890478577706931,10.0
424,8.533790689128221,10.0
425,8.208155705272894,11.0
426,7.9294891220437345,10.0
427,7.884336593570664,10.0
428,7.501506376010104,9.0
429,7.176503651858266,9.0
430,7.026443528695711,9.0
431,6.4607167068615405,7.5
